Taxi1,Taxi2
5860,9552
1175,4108
6252,8652
1964,2282
3015,6680
2560,9483
5191,9201
6818,8474
366,4878
963,3636
5257,10198
4732,8098
364,2553
3015,3647
6275,9952
5243,6358
728,3015
8647,10133
2324,2975
7050,9948
1730,8652
3781,5809
2669,6393
4443,4962
1477,8179
950,8662
2927,3426
3189,8499
823,5854
818,5510
216,746
715,2379
5940,6821
100,3015
2118,8360
4327,9109
3637,8662
5163,7129
6790,8654
3015,5875
4725,6903
1328,9934
4096,9361
3915,4819
3579,4870
4544,7242
6831,7150
790,9504
6335,9952
2660,4371
5970,9265
5070,7288
5096,6257
736,6989
2193,5659
3683,4469
5085,7596
7201,9312
1563,3011
3500,5516
2318,4607
3964,8094
7883,9117
1625,9524
639,6275
2313,7646
7192,8445
248,5895
1753,5737
965,4001
1309,2313
3117,6128
195,5480
909,4823
2922,5660
1277,2775
3111,7811
5315,5964
3021,9049
3978,4363
251,5762
8270,9354
1854,2005
4500,6919
9601,9605
945,6358
3324,9208
8425,9642
1324,8606
9071,9790
1693,7914
5454,8351
6078,8178
479,7467
7258,8260
1277,5003
3579,5943
5071,5580
1686,3710
8088,8717
2396,5563
3144,9398
2764,3515
1277,8386
1277,1970
1466,4875
1870,8900
4707,6966
5478,6843
1961,9018
4798,7084
1059,3962
3915,6242
3015,4265
1277,5353
307,2637
7146,7645
2054,8428
112,1415
2417,6036
2324,10009
1921,8838
4526,7335
3290,9573
2294,4882
2514,2936
8639,9355
6361,7311
1605,8043
7391,10078
5436,6967
1353,6287
16,8473
950,2864
4652,6104
7195,10139
2682,7623
750,8468
2866,3768
7315,7989
4452,5292
3557,7823
2313,6036
405,4269
412,5440
6953,7573
89,91
818,6128
1965,8736
5208,7490
5540,9949
3088,6032
4330,6992
249,723
3915,8470
3015,6493
4644,8845
3579,8521
28,5450
3106,5857
1551,6652
2352,7869
5318,8035
650,4450
3579,5488
1580,2105
3543,3579
1741,9378
1700,2961
3420,4677
4745,5140
3680,5570
7392,9498
2910,9301
1408,5970
9324,9407
1409,9578
2104,3953
3186,7664
2886,7372
6821,7430
3557,3635
2591,7454
2620,5940
7718,9109
686,3706
4863,9683
3801,7378
6879,7785
1557,5662
5550,9832
750,4630
3642,8819
675,8428
5250,9570
6246,7091
4007,4221
1085,9989
3296,9313
6656,8652
591,6448
2229,8162
1350,4810
6026,8256
486,2490
2884,10308
1454,2881
3938,5555
6749,8062
4872,6362
6892,8370
3781,4817
2936,3301
4649,8010
977,1946
5139,7645
4963,9109
70,3716
1277,5621
8525,9336
1377,6202
4861,8051
6193,6275
3579,9944
905,7146
6665,8714
4578,9648
4194,6275
3579,6911
366,9497
2536,8820
6656,7847
7427,7724
326,6688
3564,9262
212,9030
4099,6388
6275,8155
5442,8154
5657,9274
1724,5909
4745,9946
1732,9934
5894,8463
3657,8672
4596,9823
2910,7691
2414,9739
2560,3148
4358,6275
2413,10268
6945,9828
1133,5818
4398,9057
2963,7702
3579,5756
5208,8108
2858,3744
2682,5208
1116,7342
736,1459
61,2044
7311,8838
675,3435
2366,6665
2154,8472
4924,5316
8126,8233
4728,5404
7625,9937
3822,10028
6649,6652
675,6818
8333,8711
2669,3441
4976,8889
1229,1742
1356,3015
1700,3579
950,8743
3228,5125
7806,9948
4882,8473
918,9959
2258,5038
1785,3128
2791,5501
5895,7883
2127,6275
4372,6681
2096,6962
5208,6953
5767,8637
2472,9693
5075,5111
4305,8842
7971,9419
249,9985
6021,6652
6632,7745
2172,4863
1499,6275
1745,9714
207,310
776,9852
1898,3540
6665,7104
5316,7021
177,2353
7828,9491
5659,7360
6275,9578
5867,8063
2761,5608
2914,5850
6825,7012
2785,3750
10,146
2172,5213
54,6834
820,5613
3557,6481
6275,6545
5640,5805
2873,9232
2477,9232
2193,9473
6146,7828
7106,9856
3768,7832
1495,7630
60,6275
1335,3965
2157,4531
6818,6945
1837,5115
1907,10018
725,9109
3557,6831
5854,7427
1131,9797
1277,9622
6569,8870
5160,9490
6665,9332
5478,8079
7033,7284
8800,8846
3171,10178
6834,7074
5466,9947
5039,7628
8523,9477
5378,7848
5930,8361
8552,8717
3483,4034
955,7477
676,8062
4470,8639
580,1938
5371,10060
8910,9364
6093,6258
5589,9199
2941,7622
3462,8822
1566,2154
8761,9241
6044,9779
4798,7165
1350,4973
4930,6530
842,5506
1695,8391
1838,3781
1812,2560
752,2580
2402,3557
2491,9264
8535,9837
130,6963
1131,8992
876,8473
191,8370
52,4828
2180,3895
3957,6899
2274,7694
3981,5041
4103,5970
3542,7623
3206,8428
995,6852
5630,8045
4821,5432
366,2894
2857,6739
4194,9471
3015,8079
2067,9094
2566,3557
7056,8533
2909,3896
1950,4722
9010,9140
4705,9579
1935,7073
4801,10041
5895,8851
2435,7396
785,4167
5477,5894
4926,8989
2,1277
3985,4005
5232,6063
5970,9964
1438,3234
8621,8806
3418,8095
2862,10092
4985,9569
1938,3557
3015,6924
8894,9904
269,2560
1738,6909
960,5861
5442,6812
1120,8028
7630,10094
5409,8584
3886,7382
2669,9670
9768,9879
4314,5385
2917,7520
7674,9642
1982,6488
2782,4851
2172,5831
8978,9201
1825,4969
3372,5067
3088,5308
7456,8601
4027,6459
818,2371
750,8094
2656,8280
5483,5658
1563,4410
842,3896
28,8109
5141,5894
3233,8291
8840,8863
3047,4903
2618,8927
1113,2669
6785,8554
1277,7207
1860,7033
3484,9041
3233,5258
1146,2028
251,395
9578,9731
1830,2660
395,3557
1642,9025
2669,8865
3015,9502
862,5652
1787,4461
2967,9461
5460,6963
1076,3137
3557,6294
2877,6535
1439,1499
9138,9809
6388,10207
729,3029
5061,6665
3003,8337
3743,5895
7222,7400
1439,4882
919,2372
193,5678
7885,9407
1096,1510
5015,8949
1971,7372
2486,3122
34,703
2434,2932
5973,8652
1938,4980
1747,6166
1520,2777
6569,8683
5413,6743
2560,4734
366,6545
5414,10351
152,6027
310,7367
3009,4745
366,3512
1825,3009
2160,3487
2853,8369
8181,9526
2969,4565
8201,10178
7146,9044
3557,5489
1563,2450
7199,7924
2746,6213
2560,3579
4590,6275
5075,9730
2339,7552
6138,8473
2401,9184
1931,3785
3018,7840
538,8291
5758,5973
2406,6495
2055,5514
6814,8463
7137,7396
843,5894
7400,7806
302,8199
837,5325
3015,4509
2330,4406
2669,3872
3655,4869
1946,7449
24,5976
1113,4442
7121,9522
3284,5865
768,6659
978,1773
4619,6989
7019,8464
1563,8061
4959,7811
1409,7594
1932,9621
2560,2774
6362,7376
2085,3447
4015,8945
3899,4798
3866,8822
7283,9449
6660,10224
3766,5208
5099,6286
746,1773
2112,5243
3015,6737
2894,8662
4819,7400
3759,7420
2360,7974
4688,7883
3579,5732
3942,9756
8044,8234
6989,9352
5000,6657
4177,6620
2881,3889
5553,10024
3781,5866
2915,9889
1131,3462
4178,9474
5967,9075
2230,2616
1946,3611
3560,4177
2969,9371
5467,7971
4545,7955
875,2718
4980,7883
6607,8654
1218,9473
3403,9828
688,6275
3300,5943
478,9663
1586,8179
75,2076
5044,8807
1775,3914
1131,3812
1218,6440
5445,6118
4672,9578
3638,9321
1561,6779
898,3991
4850,5908
6992,8845
8554,9221
2422,8801
2331,6431
3015,9315
980,6275
584,6275
2669,8678
1578,7133
3438,4722
136,4607
1925,4962
3845,9018
2596,6887
7171,8029
8296,8404
1725,3396
730,8729
3557,6107
1530,7092
2873,8858
5860,7649
717,1327
2967,6241
1600,4798
1748,5450
3119,9264
3207,4947
3895,8731
605,10131
7387,8943
8717,9750
1131,3007
31,4382
146,4894
808,7457
2138,4854
5787,8460
1761,1898
1277,6215
1399,7898
675,1451
4291,9835
862,1277
6118,7284
2536,9064
56,3099
5964,6817
2407,9593
1323,5809
6749,7501
1794,4640
8232,10058
2313,9931
8662,8888
4689,6848
71,9042
386,1698
6086,8877
8670,8749
35,7133
4406,9943
3744,5128
1101,3895
3621,6226
968,4305
596,8863
5520,10159
1277,5060
1378,5866
6101,9158
3090,3557
4112,6463
4889,9538
1747,5174
3643,4672
1370,4470
1399,10126
2894,9280
6168,7347
8126,8477
578,3746
5316,8070
1088,8921
250,8576
4443,8670
4808,7105
3078,8054
6089,7993
84,5840
6565,7922
356,1832
3015,7705
2943,6139
794,1277
1673,2377
8330,8657
6549,6665
8696,9946
6275,7594
4687,5997
3154,4107
2883,8717
9318,9700
2496,8079
8139,8308
875,3336
1157,2268
4462,6818
4897,5992
3658,4549
189,10178
6665,6998
5987,8066
2085,3260
2315,6166
3712,4785
312,8299
7127,8749
6815,6942
9626,10203
132,6611
6966,7111
4817,7167
2986,8064
6785,8985
3015,6550
6659,9812
4166,5894
2669,5913
4128,9574
3973,5499
4420,6942
4346,4549
2917,7146
3579,5545
3942,9569
6275,9822
2127,2331
449,4224
2606,8193
5658,8133
1480,1931
6452,8179
6211,9248
4549,5258
3246,5520
823,8757
1902,6535
1850,6345
1100,5093
1535,5021
4396,7645
2560,8198
4580,10206
4677,7106
255,544
3579,4390
1872,4791
970,6151
5846,6275
2680,3015
3666,7018
3915,7722
8545,8571
897,950
2672,8789
6810,9176
5633,8611
2923,6156
2424,8687
3847,6275
1827,4267
901,1069
9786,10060
1108,8717
2569,2625
2389,9605
2972,3015
1566,8814
3598,5921
1884,7403
4957,8220
3599,8775
791,9949
4528,9992
5082,7168
8385,10137
3557,9303
7284,7904
875,1726
6948,7955
9499,9599
2111,2871
6952,8828
5536,7523
1741,7475
4136,8606
342,8029
1586,4154
366,6171
3045,7815
2740,3015
3602,8672
3724,9601
2647,6988
6399,7339
3847,5470
483,4477
6773,9243
5180,6548
3779,6275
2669,7686
1795,4678
6559,7971
1787,9698
8516,8876
3557,5115
1351,3883
2560,3205
31,3040
874,4483
3678,6573
6945,9885
8153,9763
1773,9241
3557,8498
3746,4987
3772,3956
6607,6857
4527,4798
4494,8822
1182,8019
2560,6588
1746,10047
5478,9746
4817,7785
366,1983
3296,7410
345,1860
3674,6050
1466,4745
3075,4967
215,5951
652,1788
5316,7883
1391,2127
2889,5716
1700,3636
6410,10076
6992,7048
1723,7969
2128,9186
2560,5433
1794,3648
2353,5332
2434,7014
7081,9722
686,998
1840,6275
5921,6128
2163,5208
1776,2318
1805,7220
3866,5065
1971,8421
7067,8511
465,1938
401,6649
3558,4131
4112,5471
3176,8001
4014,9100
1309,6989
3554,6641
7193,10313
6933,8696
799,4443
7469,8676
3644,6534
6211,8711
2424,2889
5531,8952
3697,3916
4559,5409
278,2462
9232,9338
1701,6466
2489,4038
2669,9109
5468,8603
1695,2487
4843,8551
8007,8732
1131,9504
1563,9915
6358,8357
8511,9174
6701,8696
106,4048
3148,4798
4839,8028
1563,6882
6482,7834
5617,7541
528,8652
3549,8525
7133,8326
283,8067
803,4161
1768,6533
1059,8288
1277,9679
1212,2868
3915,4152
7431,8168
6355,8409
687,9813
4851,5005
7282,8045
1370,2673
2669,4921
2796,3942
1768,6883
154,6317
3843,8598
1637,3956
368,10218
5401,5822
4962,9158
4177,5441
4027,8126
5856,6402
4526,5595
3803,9172
1131,2283
4372,5128
3843,8948
2222,7211
6138,8717
5742,8717
5854,9712
4018,9511
3113,4938
3918,10061
4738,9800
877,8001
5724,7387
4320,7597
2580,7858
715,1257
2335,8027
1239,6138
5418,6526
4415,7834
2672,4414
4007,6319
1832,6652
1871,6580
4018,9861
7898,10212
3015,4753
3579,6781
10239,10326
6130,8425
4043,5195
323,6287
2205,2669
8387,9622
5429,9317
926,1827
6275,8025
1948,4733
4969,5360
2934,8736
956,10337
2076,3198
5214,8574
567,5866
6888,9945
3557,4928
1378,8525
2813,7628
4578,8363
70,2781
2365,5960
1372,7956
1131,4861
845,9193
7228,9986
2560,6401
1557,6955
1274,4388
1931,6607
558,2720
3111,6689
3954,8132
2521,3440
5313,8179
5533,6233
3270,5221
6656,9945
3719,8265
1370,7479
3015,3948
3579,5976
3075,8163
7146,7328
4597,5730
1451,10292
6275,7220
2137,6833
7235,10002
6736,8369
7118,8663
5301,7014
1409,10066
1353,5970
2554,4677
878,7397
534,2669
3340,5586
1029,6812
6354,9206
4951,5854
629,3660
3977,5648
1277,3881
4854,5921
7376,9079
3510,6936
1741,8711
347,9609
3945,6864
4889,8359
345,7284
2172,4733
59,282
5002,5792
4668,6670
3603,6346
3257,5709
9578,9788
63,7571
1240,7382
1916,3989
918,5641
3015,9559
3015,3143
4443,7491
1757,9594
7335,9428
4692,8195
5580,8657
2393,6772
485,5759
2878,10227
1106,1905
2164,5222
4992,5454
1789,8728
5509,6912
6073,8940
2533,9411
2554,3872
1409,6228
27,10169
803,3974
288,8978
2867,5500
3015,8404
3142,8179
3259,8764
1526,10196
4795,7919
2087,2127
862,4554
5574,7657
4798,8190
5101,5747
6283,6656
5342,8088
2862,8539
899,7819
3290,7296
1958,9826
530,5478
1557,8728
7868,7955
676,4549
4500,7220
2669,8117
7187,7971
3636,4900
6239,8986
2137,8256
6275,8643
6834,10327
7288,8053
6233,9171
3468,6255
136,7429
1414,8800
6204,6898
8126,8371
1653,4652
818,7234
1721,9482
4990,7205
6812,8474
4401,6810
4327,4417
147,1552
7092,7710
1773,10022
9703,10159
3815,9345
4697,9962
1922,6358
7708,9147
2393,8195
10,1439
2320,6404
887,1712
6580,8474
942,2173
2566,6810
4863,7406
4250,8869
7328,10030
659,8651
2313,6337
5205,8274
4730,4783
7195,7407
6622,7545
677,6197
6184,7319
220,5921
3599,9474
6462,6509
58,675
3418,4932
1613,4798
5964,8484
1301,9407
3579,5789
1796,9386
8544,8614
1044,8061
3372,7970
1660,3863
2886,4290
2669,6507
3557,6969
6239,7376
5057,6467
6834,8717
6478,7392
4401,4850
3439,6159
2195,4372
2307,4613
4115,8428
7919,9693
5741,7099
1969,8001
3963,4624
1289,8242
5451,6771
6576,7146
4143,9695
6132,10138
877,9237
1283,8427
2222,5414
5916,8793
6630,7382
1153,8354
2560,5409
5072,7125
3272,7335
6746,8496
772,8662
6056,8049
2924,3619
3015,5989
4730,7361
2144,6662
4842,7602
2173,5148
4819,6652
8179,10155
242,8847
2580,3028
1567,3648
85,8863
4867,6319
1938,4500
1439,7785
3319,6750
2999,7334
4439,6781
4798,7653
1938,7883
8034,9400
5321,7428
4049,9255
1838,4269
3579,6862
7044,8661
6815,8609
6846,7922
4415,4882
4609,8131
2405,3562
818,4819
2888,6190
1931,7843
5169,6253
3617,6565
1277,2889
3579,3829
465,759
5041,7007
6665,9015
7842,9580
1827,6739
5225,7316
875,8736
3819,6699
154,2560
4980,7485
744,3557
3579,7212
437,8510
1712,6200
5122,9066
84,6702
5163,9821
2286,8192
8390,9570
2282,4286
8639,10274
4248,9441
141,4203
3558,4830
1131,8325
2566,7428
2127,4348
3242,4035
8873,9165
2560,9865
4234,4820
4798,6848
2406,9398
4980,6330
4544,8429
968,1329
3228,8459
2416,6329
1865,2254
6818,9206
2828,8717
2195,4640
1057,9665
3015,4379
2908,10174
4969,8019
6643,9390
7091,7271
4056,8466
6903,7220
1659,4256
5528,6670
6361,7425
2909,3579
6233,8179
1131,7520
3252,3918
4492,8215
6171,9930
968,3557
6905,9925
7008,7394
3765,8640
6254,8652
7195,7220
3678,9395
2295,4066
3162,3651
5627,6275
3015,6607
716,2932
2486,4765
1949,6812
3015,9990
4901,8800
4443,7922
2195,7218
416,8305
732,3815
3531,5561
1299,5360
6275,6846
2187,5822
2471,5581
5652,7621
6022,8652
1469,9743
65,3537
2506,8019
4622,9735
7568,8525
4672,9098
2747,4698
6162,8662
2560,8255
838,3460
903,8019
285,9138
2491,3954
715,8722
1830,8409
1059,8532
6630,7195
842,3579
7387,9618
1336,7120
876,3163
4360,5012
1674,7115
8860,9952
7220,7411
2917,3015
2108,6818
675,2126
523,2486
5101,9561
2393,3015
5836,9027
169,6869
394,3015
946,9944
2997,7101
1579,4195
1605,9580
261,3425
667,4867
7387,8463
5866,8088
950,4401
1935,8179
1379,10176
9440,9830
3557,9360
3579,6675
7104,8525
2648,3133
4960,8925
686,3015
162,3015
3579,3642
5721,6579
1237,3303
650,5987
454,2665
89,1978
703,9785
985,8717
5436,7349
1329,6275
1277,6085
3579,7025
7433,7653
16,2439
4682,9361
432,1563
1827,9935
2450,2744
5552,8463
4686,5316
5584,7220
644,9555
4560,6897
6401,6688
1578,6198
1452,7779
3940,4937
4967,8941
392,1383
232,4134
2967,8339
3278,5757
1590,6208
8873,8978
5384,6785
8417,8927
1120,1563
2219,7133
875,7394
1131,5105
534,7101
837,4658
4171,9946
3579,5870
9408,9487
2428,4274
5325,8807
2894,5767
4112,6333
4798,10044
1938,10274
6436,8752
1713,5460
2487,4854
3452,7226
1277,8313
6561,9952
1277,1897
6275,7114
1712,1825
4418,6790
3671,5809
3077,5070
7805,8706
5866,6128
1948,7205
6309,10081
3066,4157
1569,4176
1236,8662
3939,7694
3557,7400
4990,5676
2127,6389
4745,9255
5423,8941
2620,3289
1935,9602
3557,4367
186,5613
7006,7161
2283,3869
4578,7802
4798,5856
4736,4978
6477,7571
3557,7750
1931,9079
2862,6205
3801,8110
2154,4398
1775,7785
3162,3464
91,9109
3195,5075
2486,4578
7706,7922
6651,9040
6969,7629
5460,10297
768,2154
391,6368
1614,7278
2393,7016
1729,7790
4401,7509
366,8001
674,6656
132,1943
942,994
4398,7211
3090,7883
2565,9193
5452,6622
4798,8084
6011,8306
4736,7206
3270,6538
4646,8444
3557,3562
2615,5523
2126,5332
3557,6945
7184,8348
6378,10170
6665,9446
466,4798
1768,3557
4316,7936
2425,8782
1277,6703
3579,7643
685,2627
4162,7469
3015,8998
1317,8761
9978,10100
353,9243
2070,7278
6681,10329
6989,8230
728,1950
5056,8850
4810,5411
5703,6217
6766,9878
2716,5174
5243,8676
8532,9303
6665,8291
4177,8881
3220,5616
5460,9842
591,1837
162,5861
3210,8311
1899,5302
366,2658
118,9726
6656,7424
1336,6128
1931,7469
1769,2977
800,9531
466,3993
6314,7660
3915,6787
3015,4810
1239,9578
9109,9664
5998,6111
5122,8692
3594,7146
3446,4996
5526,7055
4277,4924
9567,9761
3557,8018
8080,8216
3743,4236
3061,10066
1509,8126
4428,7722
751,2068
4343,5894
1563,1946
1466,4265
4862,8179
4891,6665
1837,6652
254,4645
6857,7656
2986,5169
5611,9206
3015,3655
1277,4743
2894,5580
5411,8394
2372,6407
2869,7213
1336,5323
1701,3758
8001,9212
8032,8525
3579,9066
2669,6401
1277,8126
998,2295
683,7387
7519,9468
3145,6330
3818,9082
4850,7014
5430,9575
2573,9322
1830,3579
3781,9200
3530,5417
8354,9515
2473,9872
83,2669
1948,3985
2292,4549
1535,2126
4580,7311
1409,3707
5149,9683
5108,7430
4265,5987
1131,7146
875,3019
885,4461
195,3260
2163,5078
1277,6971
2089,6849
2240,7018
4265,9370
1131,4113
2767,9164
1277,3938
1122,7033
1748,9939
1466,10226
4190,10135
6745,9269
6347,8442
5316,6948
4633,7672
5089,8477
586,6649
5849,7411
1546,3015
1950,2876
6275,9505
1762,3579
7236,8725
5892,9740
1845,8717
3557,6408
1131,2958
2560,4498
2601,4499
2680,8764
4891,8088
7193,9028
1909,3225
3609,9981
9247,9866
1277,6166
3579,7106
248,6253
5356,9356
4862,6569
1314,3015
5856,7427
3829,5002
1277,9549
841,10150
2353,6275
1864,3832
1741,4930
6968,10199
1825,9539
3532,6886
5655,6363
5433,7482
8554,8717
5899,6723
1950,8487
2848,3221
8820,9398
4491,9443
3821,3956
3157,4730
8723,9465
4862,5414
483,1932
5892,8935
5338,5343
5429,6959
3557,5603
2414,3868
8477,9409
3002,4038
2126,7373
1725,6275
1930,7461
3557,8986
4276,7919
2313,7199
596,2748
4199,9392
1389,2569
4470,7411
3298,7190
2974,8786
6750,8003
2851,9884
2319,10023
1266,4798
1825,2318
1109,7066
7427,7464
1100,9232
131,2954
2321,3653
4705,6123
3557,4798
4300,8289
3742,10213
320,2826
7063,8126
6784,8711
2240,7636
2226,10182
3619,9059
2463,2955
589,772
6851,6900
1832,8750
2487,4480
3015,6851
147,7220
7428,9163
642,7199
3883,9290
5127,5415
2669,9597
83,8898
3192,9372
4446,5431
4716,7012
5614,8162
1111,2924
1598,9458
3225,8731
754,7790
6172,6211
3844,4050
1631,2401
4177,10117
779,3124
6700,9713
3372,8377
2773,9546
4177,7084
903,1847
3557,7376
2955,9028
3089,5056
3111,8787
2240,10214
2669,5409
4040,6971
7205,10006
3259,3373
4367,8305
2574,9686
3756,4179
5316,10144
2281,5677
3440,4882
5797,9693
76,8053
2560,4311
8045,8118
2157,7304
820,2320
4452,7073
1802,8833
4582,9775
1378,6785
4898,8291
2840,9963
6732,6911
784,6046
3693,4954
3579,3886
8527,9740
903,4425
1837,8238
490,2566
3974,4415
7303,8605
4782,9055
2640,3866
7428,7553
676,4419
8179,9407
545,5656
2580,8696
4414,8070
6484,9441
6093,9031
6062,7466
1762,2587
260,6426
676,1386
6770,8492
3557,5416
5921,7234
1277,1791
9310,9977
1724,3234
2560,9922
7730,8241
9122,9926
5075,9657
1627,3301
3301,4672
6883,7056
6286,9052
971,1684
317,3146
1277,5174
3794,7988
31,6724
7653,8960
3114,8229
7806,9956
7475,10351
5409,5746
3015,7469
1745,4461
7428,9781
6848,7220
7125,9972
3978,6762
9305,9983
5444,7430
10201,10306
2424,3995
483,7006
7427,10310
6310,9796
1112,7177
3579,6464
4630,8610
3040,5432
6617,8226
2448,6274
8234,8309
201,877
3413,8646
1570,8028
5460,8313
331,4333
2404,5221
7163,8170
2321,9882
382,6550
7790,8268
1909,4461
8044,9316
4148,8462
3554,9975
5419,8662
154,7073
195,7074
1900,10010
1370,6812
4952,9950
1277,4369
623,3579
6908,8001
6202,8519
3144,8764
